"","klasifikasi","score","text"
"1","Negatif",-1,"garenghallu reng reng dl junjungamu  jet   kampanye gak nyinyir    wayang  dalang biar pinteran dikit"
"2","Negatif",-2,"gambar motif kain baju batik semar mesem punokawan togog pandawa indonesia wayang pattern batikfabric "
"3","Positif",1,"rapat persiapan malam puncak   kabupaten lebak     meriahkan  anji manji dilanjutkan acara wayang golek desember "
"4","Netral",0,"ganjar pranowo memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"5","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember "
"6","Netral",0,"polsek mojoroto anggota melaksanakan pengamanan giat kesenian jaranan  wayang  sma kediri "
"7","Netral",0,"hmm dilemma nak tengok wayang  nak  "
"8","Netral",0,"cnnindonesia  gimana   hajatan nanggapnya wayang kulit  semalam suntuk"
"9","Positif",1,"ganjar cinta tradisi wayang kulit jawa ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"10","Positif",1,"treasuremenfess asep sunandar akwowoqok wayang gemes banget"
"11","Negatif",-2,"kegiatan sosialisasi yg dikemas dlm bentuk hiburan rakyat  lapangan desa nungkulan jaten wonogiri jateng  dihadiri  peserta   perwakilan  komunitas mahasiswa  masyarakat  wonogiri kemkominfo platejohnny "
"12","Negatif",-1,"razorcrest malaysiakini rashidyusoff tengok la esok lusa anwar gertak tycoon cina pulak confirm depa   alah wayang ja ni dengar  percaya   dapdapdap  hati tu dah gelap  la       puas hati"
"13","Netral",0," rangka mensosialisasikan rkuhp kominfo  ditjen ikp  komisi iii dpr ri  pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit kemkominfo platejohnny "
"14","Netral",0,"sitizahwani jom tengok wayang "
"15","Netral",0,"  free ticket wayang  tu la single lol"
"16","Netral",0,"asyrafflatiffi nanasriff cerita pasal   amato jumpa mechabot  kali  lepastu mechabot ni  jual mahal nak  robot amato  lepastu tengok  kat wayang hehehee"
"17","Positif",1,"mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember sahabatganjar ganjar "
"18","Netral",0,"hyangwisnu kemkominfo jokowi platejohnny ditjen ikp  komisi iii dpr ri  pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit kemkominfo"
"19","Netral",0,"ditjen ikp  komisi iii dpr ri  pemerintah kabupaten wonogiri  menggelar kegiatan pertunjukan rakyat sosialisasi ruu kuhp  pagelaran wayang kulit kemkominfo "
"20","Negatif",-1,"eh tpi serius  tertanya   movie tu jam pagi  wayang dkt   bukak jam tau "
"21","Netral",0,"   ditentukan  belas kasihnya   penentu biarlah bidakbidak   diutusnya memainkan peran   wayangwayang abad  "
"22","Netral",0,"nak tengok wayang "
"23","Netral",0,"wayang mesti kena    dah   record kah "
"24","Netral",0,"kat johor ni valid   tiket wayang  rabu murah sikit "
"25","Netral",0,"memperingati  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar capres ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
"26","Negatif",-1,"hasbillbs davidwijaya  jitu umpan mu bang   demen   bang  ku   wayang  tontonan  buang aja  bang mudah mudahan   mungut"
"27","Netral",0,"daws fahmifadzil wayang je "
"28","Netral",0,"hyangwisnu kemkominfo jokowi platejohnny kemkominfo sosialisakan rkuhp dg memakai wayang  wonogiri"
"29","Netral",0,"kemkominfo sosialisakan rkuhp dg memakai wayang  wonogiri "
"30","Negatif",-1," maunya div jyp ent in general maunya itzy tuh diarahkan kemana  birth of queen  gak  buzznya samsek gajelas bgt  div  cmn itzy  wayang yg   div  gini  ngurusnya"
"31","Netral",0,"mkinibm  start  wayang dahjom makan popcorn"
"32","Netral",0,"khairilmazlina zaczakirin wayang korang bnyk sngt"
"33","Netral",0,"ale uto la dap wayang kuat beliau "
"34","Negatif",-2,"sumpahlaaa bestnya  tengok concert exo ramai ramai dgan exo l  wayang "
"35","Negatif",-1,"well  wajib mesti cari mall bole tgk wayang minamalina bole gini  nnt  imago shopping mall imagokkts in kota kinabalu sabah "
"36","Negatif",-1,"chelsia memperingati  wayang nasional ganjaran app mengadakan giveaway  orang ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjarbertanggungjawab "
"37","Negatif",-1,"chelsia memperingati  wayang nasional ganjaran app mengadakan giveaway  orang ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjarbertanggungjawab "
"38","Negatif",-1,"harakahdailyhd ko mmg kenyang  main wayang politik mcm ni"
"39","Negatif",-1,"chelsia memperingati  wayang nasional ganjaran app mengadakan giveaway  orang ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjarbertanggungjawab"
"40","Negatif",-1,"memperingati  wayang nasional ganjaran app mengadakan giveaway  orang ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjarbertanggungjawab "
"41","Negatif",-1,"sukriomar wayang  sgt dol pau syarikat judi  duit kat org kampung claim depa kerajaan yg prihatin konon x heran la tok gurunya bekas nd bos umno "
"42","Netral",0,"cerita   korek twitter tengok   nau    adegan lgbt  kena potong pon maybe potong  wayang je la kot  netflix lepas"
"43","Netral",0,"ganjar memperingatai  wayang nasional ganjarpranowo ganjarpranowo ganjarkita ganjaruntukindonesia sahabatganjar relawanganjar ganjarpilihanjokowi ganjarpranowofor ganjarpilihanrakyat ganjarhebat ganjaramanah ganjarbertanggungjawab "
